"","m0","notas.bcra","reserves","badlar","exchange","month","year","date","date2","regime","convertion1","convertion2","notas.bcra.dollars","m0.dollars","m0.frac","notas.bcra.frac"
"97",46495,12671.6,17921.8,4,2.9552,7,2004,"2004-7",2004-07-01,"NK",2.5943264627437,3.30137597785937,4287.89929615593,15733.2837033027,0.785831871359855,0.214168128640145
"21",46507,12885.9,18062,4.4375,3.0136,8,2004,"2004-8",2004-08-01,"NK",2.57485328313587,3.28827926032555,4275.91584815503,15432.3732413061,0.783039723603326,0.216960276396674
"215",46335,12879.3,18199.9,5.1875,2.996,9,2004,"2004-9",2004-09-01,"NK",2.5458931093028,3.25355084368595,4298.83177570093,15465.6208277704,0.782496795537564,0.217503204462436
"196",46560,12998.6,18388.3,4.375,2.9692,10,2004,"2004-10",2004-10-01,"NK",2.53204483285567,3.23893997813827,4377.81220530783,15680.9915128654,0.781751082127518,0.218248917872482
"177",47131,13551.2,18719.7,4.125,2.9546,11,2004,"2004-11",2004-11-01,"NK",2.51772197204015,3.24162246189843,4586.47532660935,15951.736275638,0.776685749692661,0.223314250307339
"40",50537,13626.8,19309.9,4,2.9709,12,2004,"2004-12",2004-12-01,"NK",2.61715493089037,3.32284475838818,4586.75822141439,17010.6701672894,0.787624797783174,0.212375202216826
"59",50094,14394.5,19840.8,2.875,2.946,1,2005,"2005-1",2005-01-01,"NK",2.52479738720213,3.25029736704165,4886.11676849966,17004.0733197556,0.776789660171969,0.223210339828031
"78",49467,15134.7,20526.3,2.875,2.9153,2,2005,"2005-2",2005-02-01,"NK",2.40993262302509,3.14726472866518,5191.4725757212,16968.0650361884,0.765722883453531,0.234277116546469
"138",50981,16103.4,20741.4,3.3125,2.9266,3,2005,"2005-3",2005-03-01,"NK",2.45793437280029,3.23432362328483,5502.42602337183,17419.8728900431,0.759953133664458,0.240046866335541
"2",49923,16901.8,20618.3,4.6875,2.9004,4,2005,"2005-4",2005-04-01,"NK",2.42129564513078,3.24104315098723,5827.40311681147,17212.4534546959,0.747072942979253,0.252927057020747
"158",50981,17968.2,21601.6,5,2.8909,5,2005,"2005-5",2005-05-01,"NK",2.36005666246945,3.19185615880305,6215.43463973157,17634.9925628697,0.739399441907955,0.260600558092045
"118",51522,21484,22559.4,5.9375,2.8836,6,2005,"2005-6",2005-06-01,"NK",2.28383733609936,3.23616762857168,7450.40921070884,17867.2492717437,0.705722817302687,0.294277182697313
"98",54367,22842,24015,6.1875,2.8696,7,2005,"2005-7",2005-07-01,"NK",2.26387674370185,3.21503227149698,7959.99442431001,18945.8461109562,0.704153660842648,0.295846339157352
"22",54165,23944.2,25079.9,5.5,2.888,8,2005,"2005-8",2005-08-01,"NK",2.15969760644979,3.11441433179558,8290.92797783934,18755.1939058172,0.693452243781782,0.306547756218218
"216",53118,25303.7,25580.7,6.0625,2.9117,9,2005,"2005-9",2005-09-01,"NK",2.07648735179256,3.06565887563671,8690.35271490882,18242.9508534533,0.677338032712884,0.322661967287116
"197",55092,26619.3,26046.7,6.3125,2.966,10,2005,"2005-10",2005-10-01,"NK",2.11512398883544,3.13710757984697,8974.8145650708,18574.5111260957,0.674227432435905,0.325772567564095
"178",55906,26562.9,26501,7.875,2.9672,11,2005,"2005-11",2005-11-01,"NK",2.10958077053696,3.11191653145164,8952.17713669453,18841.3318953896,0.677904034126804,0.322095965873196
"41",55827,25989.2,27262.4,7.625,3.0145,12,2005,"2005-12",2005-12-01,"NK",2.0477654205059,3.00106373613475,8621.39658318129,18519.4891358434,0.682346527949233,0.317653472050767
"60",59355,25578.8,19607.7,8.0625,3.046,1,2006,"2006-1",2006-01-01,"NK",3.02712709802782,4.33165542108457,8397.50492449114,19486.2114248194,0.698838389428001,0.301161610571998
"79",58426,25725.6,20058.8,7.375,3.0689,2,2006,"2006-2",2006-02-01,"NK",2.91273655452968,4.19524597682813,8382.67783244811,19038.0918244322,0.694294582634198,0.305705417365802
"139",58490,27751.1,20872.7,8.625,3.0763,3,2006,"2006-3",2006-03-01,"NK",2.80222491579911,4.13176541606979,9020.93423918343,19013.1001527809,0.678214911451733,0.321785088548268
"3",60229,27845.4,21865.8,9,3.0663,4,2006,"2006-4",2006-04-01,"NK",2.75448417162875,4.02795232737883,9081.10752372566,19642.2398330235,0.68384229696711,0.31615770303289
"159",61105,29115.1,23691.5,8.9375,3.0535,5,2006,"2006-5",2006-05-01,"NK",2.5791950699618,3.80812105607496,9534.99263140658,20011.4622564271,0.677288098771781,0.322711901228219
"119",62726,30337.6,24837.2,9.125,3.0813,6,2006,"2006-6",2006-06-01,"NK",2.52548596460148,3.74694409997906,9845.71447116477,20356.9921786259,0.674012180917136,0.325987819082864
"99",65135,32484.8,26041.5,9.4375,3.082,7,2006,"2006-7",2006-07-01,"NK",2.50120000768005,3.74862431119559,10540.1687216093,21134.0038935756,0.667231442801563,0.332768557198437
"23",67267,34561.9,27023.6,9.4375,3.079,8,2006,"2006-8",2006-08-01,"NK",2.48919462987907,3.76814710105241,11225.0405975966,21847.0282559272,0.660588496978756,0.339411503021244
"217",69160,36831,27739.5,9.5,3.1001,9,2006,"2006-9",2006-09-01,"NK",2.49319562356928,3.82094125705222,11880.5844972743,22308.9577755556,0.652508231831004,0.347491768168995
"198",70174,37820.5,28389.6,9.5625,3.0985,10,2006,"2006-10",2006-10-01,"NK",2.47182066672303,3.8040162594753,12206.0674519929,22647.7327739229,0.64979235053637,0.35020764946363
"179",71843,39532.3,29760,9.75,3.0757,11,2006,"2006-11",2006-11-01,"NK",2.41407930107527,3.74244959677419,12853.1066098774,23358.2599083136,0.645053256871137,0.354946743128863
"42",76825,39625.6,31167.1,9.875,3.0603,12,2006,"2006-12",2006-12-01,"NK",2.46493899015308,3.73633093871422,12948.2730451263,25103.7479985622,0.659721804782457,0.340278195217543
"61",78063,41041.9,32827.5,8.9375,3.085,1,2007,"2007-1",2007-01-01,"NK",2.37797578249943,3.62820501104257,13303.6952998379,25304.0518638574,0.655413841076228,0.344586158923772
"80",76906,44885,34225.6,8,3.1026,2,2007,"2007-2",2007-02-01,"NK",2.24703146182974,3.55847669580665,14466.8987300973,24787.5974988719,0.631458810585347,0.368541189414653
